char1,char2,count,pmi,adj_prob
有,文,5,1.0151731605058727,2.5710509942254194e-05
子,们,15,4.969607392730392,7.713152982676259e-05
生,说,5,2.3845829085914305,2.5710509942254194e-05
旅,融,6,5.967749047637603,3.085261193070503e-05
费,热,5,5.409654316396624,2.5710509942254194e-05
以,文,10,2.2158705107430015,5.142101988450839e-05
们,的,46,2.0474338989925576,0.0002365366914687386
的,消,7,0.9436462183968068,3.599471391915587e-05
费,新,7,2.3851319972625546,3.599471391915587e-05
用,更,5,2.6832089938310872,2.5710509942254194e-05
以,更,14,3.018154443253184,7.198942783831174e-05
更,细,5,4.863232442772869,2.5710509942254194e-05
聚,人,13,3.409654316396624,6.684732584986091e-05
味,的,7,3.02052602552904,3.599471391915587e-05
的,红,7,1.580139019758045,3.599471391915587e-05
在,江,5,2.7732924529400536,2.5710509942254194e-05
上,的,39,1.7067592511718586,0.00020054197754958272
的,故,6,3.0516434706959172,3.085261193070503e-05
让,我,8,5.177161305091206,4.113681590760671e-05
的,英,5,2.6281443926688772,2.5710509942254194e-05
有,了,15,2.315254553094986,7.713152982676259e-05
了,更,5,1.9471127549433047,2.5710509942254194e-05
更,深,5,1.8446964913354416,2.5710509942254194e-05
刻,的,5,1.2571144510590333,2.5710509942254194e-05
的,理,14,0.44263549600811003,7.198942783831174e-05
岁,的,15,3.8874009422896796,7.713152982676259e-05
的,游,10,1.5362219032278384,5.142101988450839e-05
雪,旅,7,6.841289889892192,3.599471391915587e-05
滨,冰,5,9.460685887677222,2.5710509942254194e-05
雪,大,6,3.05883763936652,3.085261193070503e-05
大,世,6,2.3505714338419135,3.085261193070503e-05
的,冰,7,2.454608137674186,3.599471391915587e-05
建,了,8,1.2443178397975572,4.113681590760671e-05
部,部,11,2.2656079467799173,5.656312187295923e-05
长,的,13,0.5420519590005656,6.684732584986091e-05
在,人,14,0.8686196825813536,7.198942783831174e-05
于,此,6,5.943729793984311,3.085261193070503e-05
火,的,5,1.6871022918038487,2.5710509942254194e-05
的,国,30,-0.6251018181936898,0.00015426305965352517
黑,神,6,6.769928722933469,3.085261193070503e-05
的,建,10,-0.9393113897010754,5.142101988450839e-05
还,能,13,4.682986166578981,6.684732584986091e-05
非,遗,26,9.626019311534757,0.00013369465169972181
为,世,19,4.668422964725875,9.769993778056594e-05
国,的,37,-0.42286558184398926,0.00019025777357268103
国,春,8,1.5376060539693734,4.113681590760671e-05
这,几,5,6.073755011445521,2.5710509942254194e-05
到,哪,5,6.141373740996871,2.5710509942254194e-05
都,能,6,3.089461652354401,3.085261193070503e-05
能,看,5,3.608267201627931,2.5710509942254194e-05
的,灯,6,2.0730171214884843,3.085261193070503e-05
是,一,36,2.534334978062886,0.0001851156715842302
的,体,7,-1.01354069806422,3.599471391915587e-05
次,的,5,0.06261142689605484,2.5710509942254194e-05
地,说,11,3.6925015629002957,5.656312187295923e-05
国,已,7,2.5944372765660493,3.599471391915587e-05
个,国,13,1.1282314020679847,6.684732584986091e-05
签,政,5,6.6988456248719865,2.5710509942254194e-05
人,在,9,0.6534813579049292,4.627891789605755e-05
我,一,5,0.06151479385739918,2.5710509942254194e-05
越,多,13,4.724957247061346,6.684732584986091e-05
多,了,6,1.6861216160023722,3.085261193070503e-05
化,供,8,2.5090210659919694,4.113681590760671e-05
化,服,15,2.7436154949920093,7.713152982676259e-05
富,的,5,1.6475739276172112,2.5710509942254194e-05
动,为,6,0.8370429187920061,3.085261193070503e-05
强,信,9,2.6090223337877285,4.627891789605755e-05
台,上,5,3.4917937496700246,2.5710509942254194e-05
在,四,7,3.1685214711387166,3.599471391915587e-05
上,了,10,2.3427680456568405,5.142101988450839e-05
的,演,5,1.4003384751460652,2.5710509942254194e-05
受,了,6,3.15730219331875,3.085261193070503e-05
了,一,30,2.8414033137721897,0.00015426305965352517
展,上,8,1.247788655359468,4.113681590760671e-05
边,事,9,4.8975709981671285,4.627891789605755e-05
在,一,23,1.4055606684395663,0.0001182683457343693
动,的,11,-0.7603566851673726,5.656312187295923e-05
的,农,10,0.45400713993965064,5.142101988450839e-05
村,村,13,3.0896000912728203,6.684732584986091e-05
着,孩,6,6.861276089767375,3.085261193070503e-05
成,的,14,-0.14939897591327217,7.198942783831174e-05
都,会,10,3.2795876592749478,5.142101988450839e-05
的,节,18,1.3446904455961508,9.25578357921151e-05
的,就,11,0.910287621450376,5.656312187295923e-05
是,我,49,5.5368974921307075,0.0002519629974340911
成,了,23,3.166290976546005,0.0001182683457343693
浸,式,5,8.101604794372394,2.5710509942254194e-05
的,小,10,1.3525099500554503,5.142101988450839e-05
等,技,8,3.161228978572361,4.113681590760671e-05
好,的,45,1.8396002214879768,0.00023139458948028774
展,体,5,0.6167420850727178,2.5710509942254194e-05
起,了,7,2.9140310423063864,3.599471391915587e-05
村,晚,6,6.620599763786744,3.085261193070503e-05
在,进,6,-0.14133379144807037,3.085261193070503e-05
既,是,7,5.330123318505683,3.599471391915587e-05
村,的,12,0.04592023632744932,6.170522386141006e-05
演,了,5,4.227691521210148,2.5710509942254194e-05
堵,点,10,8.429658992056597,5.142101988450839e-05
现,一,7,0.6681279675476985,3.599471391915587e-05
的,喜,5,2.1756321879713707,2.5710509942254194e-05
党,的,214,3.0855069702282893,0.0011004098255284795
的,十,19,1.8595568193294465,9.769993778056594e-05
八,大,12,4.446908091045095,6.170522386141006e-05
大,以,14,2.0570717472810687,7.198942783831174e-05
平,总,360,6.877006546610161,0.001851156715842302
次,对,5,3.312087727435127,2.5710509942254194e-05
国,统,8,0.772435578544044,4.113681590760671e-05
一,大,9,-0.4784662429948986,4.627891789605755e-05
