pos1,pos2,count,mi
m,uj,995,-1.1412995551211942
m,d,983,-1.1006691478202664
m,j,982,1.062617486371023
p,nt,974,1.7619289939591058
i,v,969,-0.7944658717462771
m,q,962,2.6339939296228945
s,x,960,0.13794619949307801
nrfg,v,956,-0.18387799221058662
c,a,953,0.5590870168615671
p,nr,948,0.3619270634205632
nr,uj,932,0.20551538740259315
q,x,931,0.67737505822789
v,u,925,-0.410433622855096
uj,l,915,0.9671730335298613
n,nt,914,-1.34065375408557
nr,vn,907,-0.24780690272779915
vd,v,901,1.753771461169728
x,s,877,0.1652256251103899
v,s,865,0.22945229990973434
ul,m,854,1.4556306313222844
m,p,847,-1.2198415089415822
nz,v,829,-1.0059692955445563
c,x,810,-2.2775537989705597
b,v,803,-0.40634673735542576
uj,d,798,-0.7219150256491218
p,d,790,-0.6573388935977321
u,v,780,-0.6356112856087618
ad,n,776,-0.5245918221368389
vn,f,774,0.199857972365099
m,vn,774,-1.9177574004124298
vn,u,770,1.274616461073098
ns,a,766,-0.7489129746876564
v,ad,757,-0.0009647720221642978
t,uj,750,0.6989704482370751
s,v,746,0.009444512095702387
n,s,741,-0.553839414258618
f,d,738,0.5997611688929974
n,k,736,1.553285127605541
q,n,734,0.004522934183675277
r,p,734,0.22738680899718228
vn,p,732,-1.1728358258117881
nr,d,719,-0.11068728042103103
d,uj,711,-0.9073490333852954
n,nrfg,707,-0.9277778680355262
p,t,707,0.8469103000344337
v,nrfg,687,-0.40911286007672576
m,f,683,-0.23811401966717072
p,nz,681,1.1738564456070435
c,ns,679,0.18795969210585267
a,ns,676,-0.885463602868857
nr,nr,676,0.5565757466063572
l,vn,654,0.04440833197298566
nrt,n,634,0.09241685712897814
nr,p,629,-0.20796194809397336
n,ad,629,-0.8282631790787063
p,f,615,0.36925582976799043
a,m,615,-1.769328596541862
c,p,612,0.0578520198174255
b,x,606,-1.047786019355694
p,l,605,0.44944865772968323
m,nr,604,-1.0470804636512665
c,m,604,-0.7283314904312231
p,nrfg,596,1.83667938863764
nt,ns,593,0.9716041864071847
f,m,587,-0.402042465051356
c,d,583,-0.1078408355617962
p,s,579,2.101105532445188
nz,uj,569,0.801733638899266
u,m,568,0.6440440991766496
nr,ns,553,-0.4135147340022083
i,n,549,-2.179364495440698
d,nr,541,-0.48720293160203526
zg,x,536,0.5842693473974587
x,zg,535,0.7283375795782182
a,d,532,-1.3069454402732654
nt,p,531,0.8320561919289875
t,d,526,0.24527816853749293
uj,nz,525,0.7194068449391875
u,x,523,-1.4476315510673359
x,vd,520,0.8789393670449285
n,an,519,0.27903986925782265
ng,x,517,0.7403357719724185
nrt,x,513,0.11674386192525853
a,nr,508,-0.617311637817787
ns,c,501,-0.29701984335503445
uj,nt,491,0.6946180209821868
d,i,490,0.6499472492309015
x,nrt,483,0.2154438021272025
j,vn,481,0.2722820075909701
nz,a,479,0.5694136804341404
nr,c,477,0.3196846569214713
nr,m,473,-1.386382188514943
uz,n,471,0.40141427556000014
ns,f,470,-0.02368316555794572
an,x,467,0.46498184137836296
r,ns,466,-0.4478355484554033
l,c,465,1.0469532566425785
ns,nz,461,0.6059550563599766
uj,r,460,-0.5190719305500995
ul,a,459,1.1893795578235293
vn,ns,456,-1.875417899194742
ns,l,451,0.020627607158773625
